ID,Parameter_ID,Name,Description,Number
635,106,X,feature is not applicable (given the structural make-up of the variety/P/C),5
636,106,?,no information on feature is available,6
637,107,A,feature is pervasive or obligatory,1
638,107,B,feature is neither pervasive nor extremely rare,2
639,107,C,"feature exists, but is extremely rare",3
640,107,D,attested absence of feature,4
641,107,X,feature is not applicable (given the structural make-up of the variety/P/C),5
642,107,?,no information on feature is available,6
643,108,A,feature is pervasive or obligatory,1
644,108,B,feature is neither pervasive nor extremely rare,2
645,108,C,"feature exists, but is extremely rare",3
646,108,D,attested absence of feature,4
647,108,X,feature is not applicable (given the structural make-up of the variety/P/C),5
648,108,?,no information on feature is available,6
649,109,A,feature is pervasive or obligatory,1
650,109,B,feature is neither pervasive nor extremely rare,2
651,109,C,"feature exists, but is extremely rare",3
652,109,D,attested absence of feature,4
653,109,X,feature is not applicable (given the structural make-up of the variety/P/C),5
654,109,?,no information on feature is available,6
655,110,A,feature is pervasive or obligatory,1
656,110,B,feature is neither pervasive nor extremely rare,2
657,110,C,"feature exists, but is extremely rare",3
658,110,D,attested absence of feature,4
659,110,X,feature is not applicable (given the structural make-up of the variety/P/C),5
660,110,?,no information on feature is available,6
661,111,A,feature is pervasive or obligatory,1
662,111,B,feature is neither pervasive nor extremely rare,2
663,111,C,"feature exists, but is extremely rare",3
664,111,D,attested absence of feature,4
665,111,X,feature is not applicable (given the structural make-up of the variety/P/C),5
666,111,?,no information on feature is available,6
667,112,A,feature is pervasive or obligatory,1
668,112,B,feature is neither pervasive nor extremely rare,2
669,112,C,"feature exists, but is extremely rare",3
670,112,D,attested absence of feature,4
671,112,X,feature is not applicable (given the structural make-up of the variety/P/C),5
672,112,?,no information on feature is available,6
673,113,A,feature is pervasive or obligatory,1
674,113,B,feature is neither pervasive nor extremely rare,2
675,113,C,"feature exists, but is extremely rare",3
676,113,D,attested absence of feature,4
677,113,X,feature is not applicable (given the structural make-up of the variety/P/C),5
678,113,?,no information on feature is available,6
679,114,A,feature is pervasive or obligatory,1
680,114,B,feature is neither pervasive nor extremely rare,2
681,114,C,"feature exists, but is extremely rare",3
682,114,D,attested absence of feature,4
683,114,X,feature is not applicable (given the structural make-up of the variety/P/C),5
684,114,?,no information on feature is available,6
685,115,A,feature is pervasive or obligatory,1
686,115,B,feature is neither pervasive nor extremely rare,2
687,115,C,"feature exists, but is extremely rare",3
688,115,D,attested absence of feature,4
689,115,X,feature is not applicable (given the structural make-up of the variety/P/C),5
690,115,?,no information on feature is available,6
691,116,A,feature is pervasive or obligatory,1
692,116,B,feature is neither pervasive nor extremely rare,2
693,116,C,"feature exists, but is extremely rare",3
694,116,D,attested absence of feature,4
695,116,X,feature is not applicable (given the structural make-up of the variety/P/C),5
696,116,?,no information on feature is available,6
697,117,A,feature is pervasive or obligatory,1
698,117,B,feature is neither pervasive nor extremely rare,2
699,117,C,"feature exists, but is extremely rare",3
700,117,D,attested absence of feature,4
701,117,X,feature is not applicable (given the structural make-up of the variety/P/C),5
702,117,?,no information on feature is available,6
703,118,A,feature is pervasive or obligatory,1
704,118,B,feature is neither pervasive nor extremely rare,2
705,118,C,"feature exists, but is extremely rare",3
706,118,D,attested absence of feature,4
707,118,X,feature is not applicable (given the structural make-up of the variety/P/C),5
708,118,?,no information on feature is available,6
709,119,A,feature is pervasive or obligatory,1
710,119,B,feature is neither pervasive nor extremely rare,2
711,119,C,"feature exists, but is extremely rare",3
712,119,D,attested absence of feature,4
713,119,X,feature is not applicable (given the structural make-up of the variety/P/C),5
714,119,?,no information on feature is available,6
715,120,A,feature is pervasive or obligatory,1
716,120,B,feature is neither pervasive nor extremely rare,2
717,120,C,"feature exists, but is extremely rare",3
718,120,D,attested absence of feature,4
719,120,X,feature is not applicable (given the structural make-up of the variety/P/C),5
720,120,?,no information on feature is available,6
721,121,A,feature is pervasive or obligatory,1
722,121,B,feature is neither pervasive nor extremely rare,2
723,121,C,"feature exists, but is extremely rare",3
724,121,D,attested absence of feature,4
725,121,X,feature is not applicable (given the structural make-up of the variety/P/C),5
726,121,?,no information on feature is available,6
727,122,A,feature is pervasive or obligatory,1
728,122,B,feature is neither pervasive nor extremely rare,2
729,122,C,"feature exists, but is extremely rare",3
730,122,D,attested absence of feature,4
731,122,X,feature is not applicable (given the structural make-up of the variety/P/C),5
732,122,?,no information on feature is available,6
733,123,A,feature is pervasive or obligatory,1
734,123,B,feature is neither pervasive nor extremely rare,2
735,123,C,"feature exists, but is extremely rare",3
736,123,D,attested absence of feature,4
737,123,X,feature is not applicable (given the structural make-up of the variety/P/C),5
738,123,?,no information on feature is available,6
739,124,A,feature is pervasive or obligatory,1
740,124,B,feature is neither pervasive nor extremely rare,2
741,124,C,"feature exists, but is extremely rare",3
742,124,D,attested absence of feature,4
743,124,X,feature is not applicable (given the structural make-up of the variety/P/C),5
744,124,?,no information on feature is available,6
745,125,A,feature is pervasive or obligatory,1
746,125,B,feature is neither pervasive nor extremely rare,2
747,125,C,"feature exists, but is extremely rare",3
748,125,D,attested absence of feature,4
749,125,X,feature is not applicable (given the structural make-up of the variety/P/C),5
750,125,?,no information on feature is available,6
751,126,A,feature is pervasive or obligatory,1
752,126,B,feature is neither pervasive nor extremely rare,2
753,126,C,"feature exists, but is extremely rare",3
754,126,D,attested absence of feature,4
755,126,X,feature is not applicable (given the structural make-up of the variety/P/C),5
756,126,?,no information on feature is available,6
757,127,A,feature is pervasive or obligatory,1
758,127,B,feature is neither pervasive nor extremely rare,2
759,127,C,"feature exists, but is extremely rare",3
760,127,D,attested absence of feature,4
761,127,X,feature is not applicable (given the structural make-up of the variety/P/C),5
762,127,?,no information on feature is available,6
763,128,A,feature is pervasive or obligatory,1
764,128,B,feature is neither pervasive nor extremely rare,2
765,128,C,"feature exists, but is extremely rare",3
766,128,D,attested absence of feature,4
767,128,X,feature is not applicable (given the structural make-up of the variety/P/C),5
768,128,?,no information on feature is available,6
769,129,A,feature is pervasive or obligatory,1
770,129,B,feature is neither pervasive nor extremely rare,2
771,129,C,"feature exists, but is extremely rare",3
772,129,D,attested absence of feature,4
773,129,X,feature is not applicable (given the structural make-up of the variety/P/C),5
774,129,?,no information on feature is available,6
775,130,A,feature is pervasive or obligatory,1
776,130,B,feature is neither pervasive nor extremely rare,2
777,130,C,"feature exists, but is extremely rare",3
778,130,D,attested absence of feature,4
779,130,X,feature is not applicable (given the structural make-up of the variety/P/C),5
780,130,?,no information on feature is available,6
781,131,A,feature is pervasive or obligatory,1
782,131,B,feature is neither pervasive nor extremely rare,2
783,131,C,"feature exists, but is extremely rare",3
784,131,D,attested absence of feature,4
785,131,X,feature is not applicable (given the structural make-up of the variety/P/C),5
786,131,?,no information on feature is available,6
787,132,A,feature is pervasive or obligatory,1
788,132,B,feature is neither pervasive nor extremely rare,2
789,132,C,"feature exists, but is extremely rare",3
790,132,D,attested absence of feature,4
791,132,X,feature is not applicable (given the structural make-up of the variety/P/C),5
792,132,?,no information on feature is available,6
793,133,A,feature is pervasive or obligatory,1
794,133,B,feature is neither pervasive nor extremely rare,2
795,133,C,"feature exists, but is extremely rare",3
796,133,D,attested absence of feature,4
797,133,X,feature is not applicable (given the structural make-up of the variety/P/C),5
798,133,?,no information on feature is available,6
799,134,A,feature is pervasive or obligatory,1
800,134,B,feature is neither pervasive nor extremely rare,2
801,134,C,"feature exists, but is extremely rare",3
802,134,D,attested absence of feature,4
803,134,X,feature is not applicable (given the structural make-up of the variety/P/C),5
804,134,?,no information on feature is available,6
805,135,A,feature is pervasive or obligatory,1
806,135,B,feature is neither pervasive nor extremely rare,2
807,135,C,"feature exists, but is extremely rare",3
808,135,D,attested absence of feature,4
809,135,X,feature is not applicable (given the structural make-up of the variety/P/C),5
810,135,?,no information on feature is available,6
811,136,A,feature is pervasive or obligatory,1
812,136,B,feature is neither pervasive nor extremely rare,2
813,136,C,"feature exists, but is extremely rare",3
814,136,D,attested absence of feature,4
815,136,X,feature is not applicable (given the structural make-up of the variety/P/C),5
816,136,?,no information on feature is available,6
817,137,A,feature is pervasive or obligatory,1
818,137,B,feature is neither pervasive nor extremely rare,2
819,137,C,"feature exists, but is extremely rare",3
820,137,D,attested absence of feature,4
821,137,X,feature is not applicable (given the structural make-up of the variety/P/C),5
822,137,?,no information on feature is available,6
823,138,A,feature is pervasive or obligatory,1
824,138,B,feature is neither pervasive nor extremely rare,2
825,138,C,"feature exists, but is extremely rare",3
826,138,D,attested absence of feature,4
827,138,X,feature is not applicable (given the structural make-up of the variety/P/C),5
828,138,?,no information on feature is available,6
829,139,A,feature is pervasive or obligatory,1
830,139,B,feature is neither pervasive nor extremely rare,2
831,139,C,"feature exists, but is extremely rare",3
832,139,D,attested absence of feature,4
833,139,X,feature is not applicable (given the structural make-up of the variety/P/C),5
834,139,?,no information on feature is available,6
835,140,A,feature is pervasive or obligatory,1
836,140,B,feature is neither pervasive nor extremely rare,2
837,140,C,"feature exists, but is extremely rare",3
838,140,D,attested absence of feature,4
839,140,X,feature is not applicable (given the structural make-up of the variety/P/C),5
840,140,?,no information on feature is available,6
841,141,A,feature is pervasive or obligatory,1
842,141,B,feature is neither pervasive nor extremely rare,2
843,141,C,"feature exists, but is extremely rare",3
844,141,D,attested absence of feature,4
845,141,X,feature is not applicable (given the structural make-up of the variety/P/C),5
846,141,?,no information on feature is available,6
847,142,A,feature is pervasive or obligatory,1
848,142,B,feature is neither pervasive nor extremely rare,2
849,142,C,"feature exists, but is extremely rare",3
850,142,D,attested absence of feature,4
851,142,X,feature is not applicable (given the structural make-up of the variety/P/C),5
852,142,?,no information on feature is available,6
853,143,A,feature is pervasive or obligatory,1
854,143,B,feature is neither pervasive nor extremely rare,2
855,143,C,"feature exists, but is extremely rare",3
856,143,D,attested absence of feature,4
857,143,X,feature is not applicable (given the structural make-up of the variety/P/C),5
858,143,?,no information on feature is available,6
859,144,A,feature is pervasive or obligatory,1
860,144,B,feature is neither pervasive nor extremely rare,2
861,144,C,"feature exists, but is extremely rare",3
862,144,D,attested absence of feature,4
863,144,X,feature is not applicable (given the structural make-up of the variety/P/C),5
864,144,?,no information on feature is available,6
865,145,A,feature is pervasive or obligatory,1
866,145,B,feature is neither pervasive nor extremely rare,2
867,145,C,"feature exists, but is extremely rare",3
868,145,D,attested absence of feature,4
869,145,X,feature is not applicable (given the structural make-up of the variety/P/C),5
870,145,?,no information on feature is available,6
871,146,A,feature is pervasive or obligatory,1
872,146,B,feature is neither pervasive nor extremely rare,2
873,146,C,"feature exists, but is extremely rare",3
874,146,D,attested absence of feature,4
875,146,X,feature is not applicable (given the structural make-up of the variety/P/C),5
876,146,?,no information on feature is available,6
877,147,A,feature is pervasive or obligatory,1
878,147,B,feature is neither pervasive nor extremely rare,2
879,147,C,"feature exists, but is extremely rare",3
880,147,D,attested absence of feature,4
881,147,X,feature is not applicable (given the structural make-up of the variety/P/C),5
882,147,?,no information on feature is available,6
883,148,A,feature is pervasive or obligatory,1
884,148,B,feature is neither pervasive nor extremely rare,2
885,148,C,"feature exists, but is extremely rare",3
886,148,D,attested absence of feature,4
887,148,X,feature is not applicable (given the structural make-up of the variety/P/C),5
888,148,?,no information on feature is available,6
889,149,A,feature is pervasive or obligatory,1
890,149,B,feature is neither pervasive nor extremely rare,2
891,149,C,"feature exists, but is extremely rare",3
892,149,D,attested absence of feature,4
893,149,X,feature is not applicable (given the structural make-up of the variety/P/C),5
894,149,?,no information on feature is available,6
895,150,A,feature is pervasive or obligatory,1
896,150,B,feature is neither pervasive nor extremely rare,2
897,150,C,"feature exists, but is extremely rare",3
898,150,D,attested absence of feature,4
899,150,X,feature is not applicable (given the structural make-up of the variety/P/C),5
900,150,?,no information on feature is available,6
901,151,A,feature is pervasive or obligatory,1
902,151,B,feature is neither pervasive nor extremely rare,2
903,151,C,"feature exists, but is extremely rare",3
904,151,D,attested absence of feature,4
905,151,X,feature is not applicable (given the structural make-up of the variety/P/C),5
906,151,?,no information on feature is available,6
907,152,A,feature is pervasive or obligatory,1
908,152,B,feature is neither pervasive nor extremely rare,2
909,152,C,"feature exists, but is extremely rare",3
910,152,D,attested absence of feature,4
911,152,X,feature is not applicable (given the structural make-up of the variety/P/C),5
912,152,?,no information on feature is available,6
913,153,A,feature is pervasive or obligatory,1
914,153,B,feature is neither pervasive nor extremely rare,2
915,153,C,"feature exists, but is extremely rare",3
916,153,D,attested absence of feature,4
917,153,X,feature is not applicable (given the structural make-up of the variety/P/C),5
918,153,?,no information on feature is available,6
919,154,A,feature is pervasive or obligatory,1
920,154,B,feature is neither pervasive nor extremely rare,2
921,154,C,"feature exists, but is extremely rare",3
922,154,D,attested absence of feature,4
923,154,X,feature is not applicable (given the structural make-up of the variety/P/C),5
924,154,?,no information on feature is available,6
925,155,A,feature is pervasive or obligatory,1
926,155,B,feature is neither pervasive nor extremely rare,2
927,155,C,"feature exists, but is extremely rare",3
928,155,D,attested absence of feature,4
929,155,X,feature is not applicable (given the structural make-up of the variety/P/C),5
930,155,?,no information on feature is available,6
931,156,A,feature is pervasive or obligatory,1
932,156,B,feature is neither pervasive nor extremely rare,2
933,156,C,"feature exists, but is extremely rare",3
934,156,D,attested absence of feature,4
935,156,X,feature is not applicable (given the structural make-up of the variety/P/C),5
936,156,?,no information on feature is available,6
937,157,A,feature is pervasive or obligatory,1
938,157,B,feature is neither pervasive nor extremely rare,2
939,157,C,"feature exists, but is extremely rare",3
940,157,D,attested absence of feature,4
941,157,X,feature is not applicable (given the structural make-up of the variety/P/C),5
942,157,?,no information on feature is available,6
943,158,A,feature is pervasive or obligatory,1
944,158,B,feature is neither pervasive nor extremely rare,2
945,158,C,"feature exists, but is extremely rare",3
946,158,D,attested absence of feature,4
947,158,X,feature is not applicable (given the structural make-up of the variety/P/C),5
948,158,?,no information on feature is available,6
949,159,A,feature is pervasive or obligatory,1
950,159,B,feature is neither pervasive nor extremely rare,2
951,159,C,"feature exists, but is extremely rare",3
952,159,D,attested absence of feature,4
953,159,X,feature is not applicable (given the structural make-up of the variety/P/C),5
954,159,?,no information on feature is available,6
955,160,A,feature is pervasive or obligatory,1
956,160,B,feature is neither pervasive nor extremely rare,2
957,160,C,"feature exists, but is extremely rare",3
958,160,D,attested absence of feature,4
959,160,X,feature is not applicable (given the structural make-up of the variety/P/C),5
960,160,?,no information on feature is available,6
961,161,A,feature is pervasive or obligatory,1
962,161,B,feature is neither pervasive nor extremely rare,2
963,161,C,"feature exists, but is extremely rare",3
964,161,D,attested absence of feature,4
965,161,X,feature is not applicable (given the structural make-up of the variety/P/C),5
966,161,?,no information on feature is available,6
967,162,A,feature is pervasive or obligatory,1
968,162,B,feature is neither pervasive nor extremely rare,2
969,162,C,"feature exists, but is extremely rare",3
970,162,D,attested absence of feature,4
971,162,X,feature is not applicable (given the structural make-up of the variety/P/C),5
972,162,?,no information on feature is available,6
973,163,A,feature is pervasive or obligatory,1
974,163,B,feature is neither pervasive nor extremely rare,2
975,163,C,"feature exists, but is extremely rare",3
976,163,D,attested absence of feature,4
977,163,X,feature is not applicable (given the structural make-up of the variety/P/C),5
978,163,?,no information on feature is available,6
979,164,A,feature is pervasive or obligatory,1
980,164,B,feature is neither pervasive nor extremely rare,2
981,164,C,"feature exists, but is extremely rare",3
982,164,D,attested absence of feature,4
983,164,X,feature is not applicable (given the structural make-up of the variety/P/C),5
984,164,?,no information on feature is available,6
985,165,A,feature is pervasive or obligatory,1
986,165,B,feature is neither pervasive nor extremely rare,2
987,165,C,"feature exists, but is extremely rare",3
988,165,D,attested absence of feature,4
989,165,X,feature is not applicable (given the structural make-up of the variety/P/C),5
990,165,?,no information on feature is available,6
991,166,A,feature is pervasive or obligatory,1
992,166,B,feature is neither pervasive nor extremely rare,2
993,166,C,"feature exists, but is extremely rare",3
994,166,D,attested absence of feature,4
995,166,X,feature is not applicable (given the structural make-up of the variety/P/C),5
996,166,?,no information on feature is available,6
997,167,A,feature is pervasive or obligatory,1
998,167,B,feature is neither pervasive nor extremely rare,2
999,167,C,"feature exists, but is extremely rare",3
1000,167,D,attested absence of feature,4
1001,167,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1002,167,?,no information on feature is available,6
1003,168,A,feature is pervasive or obligatory,1
1004,168,B,feature is neither pervasive nor extremely rare,2
1005,168,C,"feature exists, but is extremely rare",3
1006,168,D,attested absence of feature,4
1007,168,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1008,168,?,no information on feature is available,6
1009,169,A,feature is pervasive or obligatory,1
1010,169,B,feature is neither pervasive nor extremely rare,2
1011,169,C,"feature exists, but is extremely rare",3
1012,169,D,attested absence of feature,4
1013,169,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1014,169,?,no information on feature is available,6
1015,170,A,feature is pervasive or obligatory,1
1016,170,B,feature is neither pervasive nor extremely rare,2
1017,170,C,"feature exists, but is extremely rare",3
1018,170,D,attested absence of feature,4
1019,170,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1020,170,?,no information on feature is available,6
1021,171,A,feature is pervasive or obligatory,1
1022,171,B,feature is neither pervasive nor extremely rare,2
1023,171,C,"feature exists, but is extremely rare",3
1024,171,D,attested absence of feature,4
1025,171,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1026,171,?,no information on feature is available,6
1027,172,A,feature is pervasive or obligatory,1
1028,172,B,feature is neither pervasive nor extremely rare,2
1029,172,C,"feature exists, but is extremely rare",3
1030,172,D,attested absence of feature,4
1031,172,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1032,172,?,no information on feature is available,6
1033,173,A,feature is pervasive or obligatory,1
1034,173,B,feature is neither pervasive nor extremely rare,2
1035,173,C,"feature exists, but is extremely rare",3
1036,173,D,attested absence of feature,4
1037,173,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1038,173,?,no information on feature is available,6
1039,174,A,feature is pervasive or obligatory,1
1040,174,B,feature is neither pervasive nor extremely rare,2
1041,174,C,"feature exists, but is extremely rare",3
1042,174,D,attested absence of feature,4
1043,174,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1044,174,?,no information on feature is available,6
1045,175,A,feature is pervasive or obligatory,1
1046,175,B,feature is neither pervasive nor extremely rare,2
1047,175,C,"feature exists, but is extremely rare",3
1048,175,D,attested absence of feature,4
1049,175,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1050,175,?,no information on feature is available,6
1051,176,A,feature is pervasive or obligatory,1
1052,176,B,feature is neither pervasive nor extremely rare,2
1053,176,C,"feature exists, but is extremely rare",3
1054,176,D,attested absence of feature,4
1055,176,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1056,176,?,no information on feature is available,6
1057,177,A,feature is pervasive or obligatory,1
1058,177,B,feature is neither pervasive nor extremely rare,2
1059,177,C,"feature exists, but is extremely rare",3
1060,177,D,attested absence of feature,4
1061,177,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1062,177,?,no information on feature is available,6
1063,178,A,feature is pervasive or obligatory,1
1064,178,B,feature is neither pervasive nor extremely rare,2
1065,178,C,"feature exists, but is extremely rare",3
1066,178,D,attested absence of feature,4
1067,178,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1068,178,?,no information on feature is available,6
1069,179,A,feature is pervasive or obligatory,1
1070,179,B,feature is neither pervasive nor extremely rare,2
1071,179,C,"feature exists, but is extremely rare",3
1072,179,D,attested absence of feature,4
1073,179,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1074,179,?,no information on feature is available,6
1075,180,A,feature is pervasive or obligatory,1
1076,180,B,feature is neither pervasive nor extremely rare,2
1077,180,C,"feature exists, but is extremely rare",3
1078,180,D,attested absence of feature,4
1079,180,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1080,180,?,no information on feature is available,6
1081,181,A,feature is pervasive or obligatory,1
1082,181,B,feature is neither pervasive nor extremely rare,2
1083,181,C,"feature exists, but is extremely rare",3
1084,181,D,attested absence of feature,4
1085,181,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1086,181,?,no information on feature is available,6
1087,182,A,feature is pervasive or obligatory,1
1088,182,B,feature is neither pervasive nor extremely rare,2
1089,182,C,"feature exists, but is extremely rare",3
1090,182,D,attested absence of feature,4
1091,182,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1092,182,?,no information on feature is available,6
1093,183,A,feature is pervasive or obligatory,1
1094,183,B,feature is neither pervasive nor extremely rare,2
1095,183,C,"feature exists, but is extremely rare",3
1096,183,D,attested absence of feature,4
1097,183,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1098,183,?,no information on feature is available,6
1099,184,A,feature is pervasive or obligatory,1
1100,184,B,feature is neither pervasive nor extremely rare,2
1101,184,C,"feature exists, but is extremely rare",3
1102,184,D,attested absence of feature,4
1103,184,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1104,184,?,no information on feature is available,6
1105,185,A,feature is pervasive or obligatory,1
1106,185,B,feature is neither pervasive nor extremely rare,2
1107,185,C,"feature exists, but is extremely rare",3
1108,185,D,attested absence of feature,4
1109,185,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1110,185,?,no information on feature is available,6
1111,186,A,feature is pervasive or obligatory,1
1112,186,B,feature is neither pervasive nor extremely rare,2
1113,186,C,"feature exists, but is extremely rare",3
1114,186,D,attested absence of feature,4
1115,186,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1116,186,?,no information on feature is available,6
1117,187,A,feature is pervasive or obligatory,1
1118,187,B,feature is neither pervasive nor extremely rare,2
1119,187,C,"feature exists, but is extremely rare",3
1120,187,D,attested absence of feature,4
1121,187,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1122,187,?,no information on feature is available,6
1123,188,A,feature is pervasive or obligatory,1
1124,188,B,feature is neither pervasive nor extremely rare,2
1125,188,C,"feature exists, but is extremely rare",3
1126,188,D,attested absence of feature,4
1127,188,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1128,188,?,no information on feature is available,6
1129,189,A,feature is pervasive or obligatory,1
1130,189,B,feature is neither pervasive nor extremely rare,2
1131,189,C,"feature exists, but is extremely rare",3
1132,189,D,attested absence of feature,4
1133,189,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1134,189,?,no information on feature is available,6
1135,190,A,feature is pervasive or obligatory,1
1136,190,B,feature is neither pervasive nor extremely rare,2
1137,190,C,"feature exists, but is extremely rare",3
1138,190,D,attested absence of feature,4
1139,190,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1140,190,?,no information on feature is available,6
1141,191,A,feature is pervasive or obligatory,1
1142,191,B,feature is neither pervasive nor extremely rare,2
1143,191,C,"feature exists, but is extremely rare",3
1144,191,D,attested absence of feature,4
1145,191,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1146,191,?,no information on feature is available,6
1147,192,A,feature is pervasive or obligatory,1
1148,192,B,feature is neither pervasive nor extremely rare,2
1149,192,C,"feature exists, but is extremely rare",3
1150,192,D,attested absence of feature,4
1151,192,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1152,192,?,no information on feature is available,6
1153,193,A,feature is pervasive or obligatory,1
1154,193,B,feature is neither pervasive nor extremely rare,2
1155,193,C,"feature exists, but is extremely rare",3
1156,193,D,attested absence of feature,4
1157,193,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1158,193,?,no information on feature is available,6
1159,194,A,feature is pervasive or obligatory,1
1160,194,B,feature is neither pervasive nor extremely rare,2
1161,194,C,"feature exists, but is extremely rare",3
1162,194,D,attested absence of feature,4
1163,194,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1164,194,?,no information on feature is available,6
1165,195,A,feature is pervasive or obligatory,1
1166,195,B,feature is neither pervasive nor extremely rare,2
1167,195,C,"feature exists, but is extremely rare",3
1168,195,D,attested absence of feature,4
1169,195,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1170,195,?,no information on feature is available,6
1171,196,A,feature is pervasive or obligatory,1
1172,196,B,feature is neither pervasive nor extremely rare,2
1173,196,C,"feature exists, but is extremely rare",3
1174,196,D,attested absence of feature,4
1175,196,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1176,196,?,no information on feature is available,6
1177,197,A,feature is pervasive or obligatory,1
1178,197,B,feature is neither pervasive nor extremely rare,2
1179,197,C,"feature exists, but is extremely rare",3
1180,197,D,attested absence of feature,4
1181,197,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1182,197,?,no information on feature is available,6
1183,198,A,feature is pervasive or obligatory,1
1184,198,B,feature is neither pervasive nor extremely rare,2
1185,198,C,"feature exists, but is extremely rare",3
1186,198,D,attested absence of feature,4
1187,198,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1188,198,?,no information on feature is available,6
1189,199,A,feature is pervasive or obligatory,1
1190,199,B,feature is neither pervasive nor extremely rare,2
1191,199,C,"feature exists, but is extremely rare",3
1192,199,D,attested absence of feature,4
1193,199,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1194,199,?,no information on feature is available,6
1195,200,A,feature is pervasive or obligatory,1
1196,200,B,feature is neither pervasive nor extremely rare,2
1197,200,C,"feature exists, but is extremely rare",3
1198,200,D,attested absence of feature,4
1199,200,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1200,200,?,no information on feature is available,6
1201,201,A,feature is pervasive or obligatory,1
1202,201,B,feature is neither pervasive nor extremely rare,2
1203,201,C,"feature exists, but is extremely rare",3
1204,201,D,attested absence of feature,4
1205,201,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1206,201,?,no information on feature is available,6
1207,202,A,feature is pervasive or obligatory,1
1208,202,B,feature is neither pervasive nor extremely rare,2
1209,202,C,"feature exists, but is extremely rare",3
1210,202,D,attested absence of feature,4
1211,202,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1212,202,?,no information on feature is available,6
1213,203,A,feature is pervasive or obligatory,1
1214,203,B,feature is neither pervasive nor extremely rare,2
1215,203,C,"feature exists, but is extremely rare",3
1216,203,D,attested absence of feature,4
1217,203,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1218,203,?,no information on feature is available,6
1219,204,A,feature is pervasive or obligatory,1
1220,204,B,feature is neither pervasive nor extremely rare,2
1221,204,C,"feature exists, but is extremely rare",3
1222,204,D,attested absence of feature,4
1223,204,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1224,204,?,no information on feature is available,6
1225,205,A,feature is pervasive or obligatory,1
1226,205,B,feature is neither pervasive nor extremely rare,2
1227,205,C,"feature exists, but is extremely rare",3
1228,205,D,attested absence of feature,4
1229,205,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1230,205,?,no information on feature is available,6
1231,206,A,feature is pervasive or obligatory,1
1232,206,B,feature is neither pervasive nor extremely rare,2
1233,206,C,"feature exists, but is extremely rare",3
1234,206,D,attested absence of feature,4
1235,206,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1236,206,?,no information on feature is available,6
1237,207,A,feature is pervasive or obligatory,1
1238,207,B,feature is neither pervasive nor extremely rare,2
1239,207,C,"feature exists, but is extremely rare",3
1240,207,D,attested absence of feature,4
1241,207,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1242,207,?,no information on feature is available,6
1243,208,A,feature is pervasive or obligatory,1
1244,208,B,feature is neither pervasive nor extremely rare,2
1245,208,C,"feature exists, but is extremely rare",3
1246,208,D,attested absence of feature,4
1247,208,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1248,208,?,no information on feature is available,6
1249,209,A,feature is pervasive or obligatory,1
1250,209,B,feature is neither pervasive nor extremely rare,2
1251,209,C,"feature exists, but is extremely rare",3
1252,209,D,attested absence of feature,4
1253,209,X,feature is not applicable (given the structural make-up of the variety/P/C),5
1254,209,?,no information on feature is available,6
1255,210,A,feature is pervasive or obligatory,1
1256,210,B,feature is neither pervasive nor extremely rare,2
1257,210,C,"feature exists, but is extremely rare",3
