ID,Name,Description,Contributors
48,White Zimbabwean English,"Although spoken by just 5% of the population, English has status dominance and is the official language in Zimbabwe. It thrives in a complex set of multilingual and multiethnic environments: the numerically dominant language is Shona (75% of the population), followed by a number of minority languages. WhZmE is the L1 variety spoken mainly by descendants of European, principally British and British South African settlers in Zimbabwe. It is grouped with the other southern hemisphere L1 varieties of English descended from British input dialects transported in the course of the 19th century. Since independence in 1980, it has become an expression of national and ideological identity – especially for the 5 million members of the expatriate community – and is today a productive and changing variety.",Susan Fitzmaurice
49,Black South African English,"Whereas the segregative and oppressive practices of apartheid had led to the development of a relatively homogenous second language variety, BlSAfE is today becoming slightly more diffuse. This reflects a new diversity of lifestyles, and educational and cultural mixing. English is not only the main language of a multilingual Black elite, but is even making inroads into some homes. For some children English has become their first language. Like elsewhere, an indigenised (or nativised) form of English is likely to develop.",Rajend Mesthrie
50,Indian South African English,"The existence of Indian languages in South Africa is a consequence of the abolition of slavery in the colonies, when Asian migrant labour filled the gap caused by the emigration of freed slaves. The sociolinguistic milieu in which Indians found themselves was particularly complex: Not only did they lack a knowledge of English and Zulu, but they would not always have been able to converse amongst themselves. Under these circumstances a pidgin English might have arisen; the kind of English that stabilized was a very special one, given that the policy of apartheid kept Indian children away from first-language speakers of English descent.",Rajend Mesthrie
51,White South African English,"The term ʼWhite South African Englishʼ is applied to the first language varieties of English spoken by White South Africans, with the L1 English varieties spoken by Zimbabweans and Namibians, mainly of British descent, being recognised as offshoots. There is some social and regional variation within the variety. Social variation can be classified into three groupings: Cultivated, closely approximating RP and associated with upper class; General, a social indicator of the middle class, and Broad, associated with working class and/or Afrikaans descent, and closely approximating the second-language Afrikaans English variety.",Sean Bowerman
52,Indian English,"Indian English (IndE) is a cover term for a number of varieties of English as a second language in India. These varieties exhibit significant phonological variations, stemming from regional linguistic differences. However many of these features converge into what can be considered a ʼgeneralʼ phonology of IndE. English is widely used in India - it is the ʼassociate officialʼ language of the country and it also serves as a link language between the educated. It is the most potent medium of higher education, perhaps the sole medium of science and technology. Most books, newspapers, reports, seminars and so forth directed to a nationwide audience are brought out in this language.",Devyani Sharma
53,Pakistani English,"English was first introduced in the Indo-Pak subcontinent by the British in the 16th century. By 1947, when Pakistan and India gained their independence, English had become so entrenched in the socio-political fabric of the region that it was retained as an official language in both countries. PakE is heterogeneous not only because of the socio-economic, geographic, and educational background of the people who speak it, but also because of the various first languages of its speakers.",Ahmar Mahboob
54,Butler English,"Butler English is a pidgin spoken in India. Despite its name, ButlE is not restricted to any occupation or region, though it is restricted to a certain class. It has its roots in the hierarchical relation of the dominant and the dominated. The label pidgin for ButlE has therefore been questioned and alternative labels like ʼsemi-pidginʼ or ʼminimal pidginʼ have been suggested. ButlE oscillates between a pidgin and an early fossilised interlanguage. ButlE is spoken by generally uneducated bilinguals knowing some English, such as guides showing foreign visitors around, market women selling wares to foreigners frequenting Indian markets, domestic staff of hotels, catering to tourists and upper-class Indians, domestic staff of prestigious clubs and other recreation centres, and domestic staff employed in racially mixed or westernised Indian households. And it is spoken in a very restricted set of domains: the domestic work-sphere domain, fixed locales like those of hotels, clubs and households, during fixed working hours to indicate the role-relationship of master and servant and to discuss limited topics.",Priya Hosali
55,Sri Lankan English,"Sri Lankan English (SLE) belongs to the family of South Asian Englishes. English is the third language of Sri Lanka after Sinhala and Tamil, and is spoken as a first language by a small but significant minority of the population – significant not so much for their numbers, but because they tend to belong to the Colombo elite, and therefore to be prominent in the social, political, commercial and cultural life of the country. The variety of English spoken by this group is generally referred to as Standard Sri Lankan English, and it remains close to the British standard from which it originated during colonial times. A number of non-standard varieties are spoken by others with varying degrees of bilingualism in English and Sinhala or Tamil.",Michael Meyler
56,Hong Kong English,"Hong Kong English is the variety of English spoken as a second language by 187,281 people (quoted from the latest population by-census in 2006) in the Hong Kong Special Administrative Region. Hong Kong is basically a monoethnic society with over 95 percent of its total population being Chinese. Cantonese is spoken as a first language and has long been viewed as the language of solidarity and community ties. However, the use of English is increasingly common in certain socially conditioned contexts from the 1980s and 1990s onwards. There are a large number of Filipino domestic helpers in Hong Kong, who speak English with their employers, which makes it necessary to use English in the home. In fact, the 2006 By-Census shows that the percentage of the population claiming to speak English as either their usual language or as an additional language rose from 38.1% in 1996, to 43% in 2001, to 44.7% in 2006. Now that English is being increasingly put in contact with the languages of the indigenous populations in domestic environments, it appears true enough to suggest that Hong Kong English is a variety with its own norms and its own local speech community.",May L-Y Wong
57,Colloquial Singapore English (Singlish),"Colloquial Singaporean English (Singlish) is a postcolonial Southeast Asian variety of English spoken in the densely populated city-state of Singapore. The linguistic ecology of Singlish is characterised by extensive contact situations. Its speakers, the ethnically mixed resident population, count close to 4 million and mainly consist of Chinese, Malays and Indians. English is the ethnically neutral of the four official languages and used as the national lingua franca. It is taught as a first language by teachers commonly using the indigenised form in the classroom. Literacy in English and its use as a domestic language have risen significantly in the last decades;  Singaporeans increasingly consider themselves native speakers of the local variety and command a range of stylistic variants. Although Singlish is challenged by the governmentʼs language policy, it is valued by its speakers as an expression of a distinct Singaporean identity.",Lisa Lim and Umberto Ansaldo
58,Malaysian English,"Beginning with the establishment of a colony in Penang in 1786, English became firmly established in the ""Straits Settlement"" in the nineteenth century and thereafter, though after Malaysiaʼs independence in 1957 a national language policy reduced the role of the language in the country. The variety known as Malaysian English owes much to its co-existence with other local languages. Several indigenised sub-varieties of MalE can be identified at the informal level, depending on the L1. These sub-varieties co-exist with a more codified and standardised model variety. In some aspects this tendency is slowly being changed, with some of the informal features also appearing in rhetorical and official discourse and a mesolectal form of Malaysian English being increasingly adopted as a local identity marker.",Stefanie Pillai and Ashley Greig
59,Australian English,"Australian English must be counted among the ""settler"" varieties of the English-speaking world, transported by convicts and immigrants, and quickly established as the official language of the under-inhabited ""Great South Land"". English was brought to Australia in 1788 by people who came from all over England, Scotland, Wales and Ireland. Migration from the British Isles has continued from the earliest days and these migrants have been joined by others, initially from northern Europe, and since the 1950s from southern Europe and the Middle East, and in more recent times from Asia. In order to describe the range of variation in pronunciation, a distinction is usually made between Broad, General and Cultivated Australian English. Although it is certainly the case that regional and social variation exists, the differences in pronunciation are often quantitative rather than qualitative and much more subtle than those in the British Isles or North America.",Peter Collins and Pam Peters
60,Australian Vernacular English,"Australian Vernacular English is a variety which can be heard in the conversational speech of some Australians, especially working class and country men. It is characterised by the frequent occurrence of certain phonological and grammatical features that are rare or absent in more standard varieties. Some Australians consistently use the full range of Australian Vernacular English features in conversation while others use only part of the range. The strongest input into this speech tradition appears to have come from the dialects of southeast England, especially London Cockney. Australian Vernacular English may be contrasted with two other mainstream varieties of Australian English: Standard Australian Colloquial English and Standard Australian Formal English. Although Australian Vernacular English is arguably an endangered language – its basilectal speakers make up a diminishing proportion of the total population – it is likely to remain strong in places where men gather to do manual work, play sports or socialise. Andrew Pawleyʼs Handbook chapter (Pawley 2008) is mainly based on data from Tasmania.",Andrew Pawley
61,Aboriginal English,"Aboriginal English is one of the three major varieties of restructured English currently spoken by Aboriginal and Torres Strait Islander Australians. Aboriginal English, with some regional variation, is spoken in Aboriginal and Torres Strait Islander communities throughout Australia. It developed in different parts of the country from pre-existing pidgins of which one, New South Wales Pidgin, was dominant. It also underwent ongoing influence from standard and non-standard varieties of English spoken in Australia and in some places from creoles, some of which are still spoken in northern areas. In Aboriginal English there are traces of innovative processes in the morphology and syntax which are a part of the developmental continuum away from English, but also evidence of the restructuring continuum under the influence of Standard English.",Ian Malcolm
62,Roper River Creole (Kriol),"The indigenous population of Australia first came into more or less intensive contact with English speakers in 1788 when the British occupied the area around Port Jackson in New South Wales. As a result, a pidgin developed which was also used as a lingua franca for indigenous-based communication along traditional trade routes. This pidgin also expanded into the Northern Territory where, at the beginning of the 20th century, it began to creolise into RRC (or Kriol as it is also called since 1976) in the context of an Anglican Church mission where a generation of children adopted the pidgin as their first language. An orthography was developed and by the mid-20th century RRC had come to displace an increasing number of indigenous languages. Today it is spoken by at least 20,000 people.",Ian Malcolm
63,Torres Strait Creole,"Torres Strait Creole belongs to the varieties of restructured English spoken in Australia. The variety arose in the Torres Strait Islands, following the arrival of large numbers of Europeans, South Sea Islanders, Papua New Guineans and others. Pacific Pidgin English came to be used as a lingua franca and started to creolise by the 1890s. The creole then spread throughout the islands, not only because it was useful but also because many considered it to be English. Today Torres Strait Creole is spoken in the Torres Strait Islands between Cape York and Papua New Guinea, and along the north coast of the Queensland mainland. It has around 3,000 native speakers and up to 12,000 second language speakers.",Ian Malcolm
64,New Zealand English,"New Zealand is situated over 1,500 km SE of Australia, but was largely settled via Australia and was for some years administered by the British from Australia. Also, New Zealand was settled largely by people from Britain (as was Australia), although the mixture of individuals was of course different. Under such circumstances, it is perhaps not surprising that there are similarities between the way English is pronounced in Australia and New Zealand, but there are also differences. In describing the pronunciation of English in New Zealand, we draw attention to differences with Australian pronunciation, and the variation that is found within New Zealand English.",Heidi Quinn
65,Norfolk Island/ Pitcairn English,"Pitcairn Island is situated in an isolated part of the Central South Pacific Ocean (24° 01ʼS. x 130° 06ʼW). Its landmass is less than five square kilometres and its present population around 50, with a possibility that it will be abandoned. Norfolk Island is located 1,575 kilometres east of Australia in the South Pacific Ocean (24° 05ʼS x 167° 59E). It occupies an area of 34.6 square kilometres and has a permanent population of about 2,600. Both Pitkern and Norfuk have always been spoken side by side with acrolectal varieties of English (British and Australian on Norfolk, British and American on Pitcairn). Code mixing is pervasive; there are virtually no examples, even from older conservative speakers, which do not involve code-switching. At present, the Norfolk Islanders are in the process of deciding on questions such as language name, lexical and grammatical norms, writing system and social role.",Peter Mühlhäusler
66,Palmerston English,"PE is spoken by just over 50 people on a remote atoll of the Cook Islands in the South Pacific. In 1863, the Englishman William Ma(r)sters settled on Palmerston with several Polynesian women from the Northern Group of the Cook Islands.  Marsters ruled the island in an autocratic style: only English was allowed to be spoken and it is recorded that the children from his various wives spoke English with a strong British accent. The perpetuation of the speech was more difficult for the women than for the men because they did not have a direct female example from Britain to imitate. The three branches of the family are now in their 8th generation and their offspring live mainly in Rarotonga, Aitutaki, New Zealand and Australia (several thousand people, with a varying degree of competence in the language, depending on the contact retained with Palmerston).",Sabine Ehrhart and Rachel Hendery
67,Acrolectal Fiji English,"The Republic of the Fiji Islands comprises some 330 islands in the southern Pacific Ocean and straddles the International Date Line. Fijian chiefs ceded the country to Britain in 1874, and soon after, indentured labourers from India were brought to work on plantations. Today, the population of just over three quarters of a million include a little over 50% indigenous Fijians, over 40% Indo-Fijians, and small groups of Rotumans, Chinese, other Pacific islanders, part-Europeans, and Europeans. The three main languages spoken are Fijian, Fiji Hindi, and English. English, important since colonial times, has seen its role increase in the lives of many Fiji Islanders, particularly since independence in 1970. Although the 1997 Constitution accords equal status to the three main languages, English prevails in most official spheres - government, education, business, the judiciary, and the media. English is also used widely as a lingua franca, although there is also a substantial amount of vernacular bilingualism. The local variety of English, known as Fiji English, reflects the linguistic backgrounds of its diverse speakers while at the same time sharing features with other Englishes. (Abbreviations: Fj = Fijian, IFj = Indo-Fijian, FjC = Fijian-Chinese).",Marianne Hundt and Carolin Biewer and Lena Zipp
68,Pure Fiji English (basilectal FijiE),"Fiji is a group of over 300 islands in the southern Pacific Ocean and was first settled about 3,000 years ago by speakers of Austronesian languages. More intensive contact with Europeans started in the 1830s, after the arrival of missionaries. In 1874 Fiji became a British colony. Today, the overall population of 800,000 comprises 51% indigenous Fijians and 44% Indo-Fijians (the descendants of indentured labourers brought from India). During colonial times, English was established as a neutral lingua franca, remained an official language after independence in 1970, and still prevails in most official spheres. Nearly all Fiji Islanders speak English as a second language, only 1% to 3% of the population speak it as their first language. Pure Fiji English, the variety most removed from the norm, is noticeably influenced by the first languages of its speakers, Fijian and Hindi, especially in the domain of phonology.",Jan Tent
69,Bislama,"Bislama is an English-lexifier radically restructured contact language spoken in Vanuatu in the southwest Pacific which initially developed as a distinct variety over about half a century between the mid-1800s and the end of the nineteenth century. Soon after the establishment of the British colony of New South Wales in 1788, a pidgin developed which was used between settlers and Aboriginal peoples along the ever-expanding frontier. Features of this pidgin made their way into what has often been referred to as South Seas Jargon, which was spoken by ships’ crews and individuals on shore in a wide variety of locations around the Pacific islands in the early 1800s.",Miriam Meyerhoff
70,Tok Pisin,"Tok Pisin developed as an English-based contact language in the Pacific from the mid-19th century onwards. Although its origins are firmly rooted in Pacific Pidgin English, its development is somewhat different from its sister dialects. Isolation from other south-west Pacific varieties led to considerable influence from the Austronesian languages of New Britain and New Ireland, especially in the lexicon, but also in grammatical structures. Although the name ""Pidgin"" is frequently used to refer to the language, Tok Pisin is spoken by an increasing number of children as a first language, i.e. as a Creole. The term Tok Pisin, then, refers to a complex of first and second language varieties. These are spoken with varying degree of fluency, and are influenced to a varying extent by other languages used.",Geoff Smith
71,Hawaiʼi Creole,"Hawaii Creole is a creole language lexified predominantly by English but also by other languages such as Hawaiian and Japanese. Hawaii Creole is spoken by an estimated 600,000 people in the US state of Hawaiʼi. In the linguistics literature, it is usually called Hawaiʼi (or Hawaiian) Creole English, but its speakers call it ""Pidgin"". While Hawaii Creole uses many words from Hawaiian and other languages, the majority of its vocabulary comes from English. The phonology and semantics, however are quite different from English. The morphology and syntax of Hawaii Creole, too, are quite distinct from English. In general, like other Creole languages, the amount of bound morphology is less than that of the lexifier language and there are quite different morphosyntactic rules for expressing tense, aspect, modality and negation, as well as for relativisation, complementation and focusing. The situation is complicated by the fact that the majority of speakers of Hawaii Creole also know English, and there is a continuum from heavy varieties furthest from Standard English (the basilect) to light varieties closest to Standard English (the acrolect), with a great deal of variation in between (the mesolects).",Kent Sakoda and Jeff Siegel
72,Falkland Islands English,"Falkland Islands English is spoken by the roughly 3000 residents of the Falkland Islands, an Overseas Territory of the UK located east of Argentina in the Southern Atlantic Ocean. It developed from the mid-19th century onwards as a result of migration largely from the South-West of England and from Scotland. Whilst dialect contact has played a major role in the evolution of the variety, language contact has been much less significant: most migrants were Anglophone, and they came into contact with no indigenous population on arrival. The result is a highly levelled variety typologically similar to Southern varieties of English in England, and with the only evidence of language contact coming in the form of minimal lexical borrowing from Spanish.",David Britain and Andrea Sudbury
73,St. Helena English,"St Helena is a rather isolated island in the mid-central South Atlantic Ocean. The population today is about 4,000, with most of them living in the island’s capital Jamestown. The beginnings of the continuous native-speaker tradition of StHE lie in the mid 17th century, making it the oldest variety of Southern Hemisphere English. Its founding populations were socially and ethnically diverse. Most of the early British working-class settlers came from southern England, large numbers of slaves were later imported from the west African coast, India and Madagascar. StHE evolved in a setting of ethnic mixing and sociodemographic homogenization and was accompanied by language shift, dialect levelling and bilingualism.",Daniel Schreier
74,Tristan da Cunha English,"Tristan da Cunha is an isolated island in the middle of the South Atlantic Ocean, about 2,300 km south of St. Helena. The island can only be reached by ship on eight to ten occasions a year. With only about 280 speakers, TdCE is by far the smallest variety of English around the world. TdCE is unusual for a number of other reasons as well. It developed in the 1820s and thus belongs to the youngest L1 varieties of English. Settlers came from Britain, the northeastern US, South Africa and St Helena. There has never been any language contact as the island was uninhabited prior to 1816, and the speech community is entirely anglophone and monolingual. Today, the population is stable and there is practically no out-migration.",Daniel Schreier
75,Philippine English,"Philippine English is one of the very few American-transplanted Englishes. The language was introduced in the country by American colonization that started in 1898. From only 300,000 users or 4% of the population at the beginning of the 20th century, it is estimated that there were around 42 million or 70% of the population who are able to use English, almost fifty years after the American colonization ended at the end of the century (Gonzalez, 1996). In the implementing 1987 Constitution, English is regarded as one of the two official languages of the Philippines, the other one being the national language Filipino. It also interacts with 180 other Austronesian-type languages used in the country, nine of them considered major languages. English plays a major role in the Philippine society, offering a rightfully unique rendering of the psycho-sociolinguistic phenomenon of the spread of English: A sizeable number of Filipinos even learn it as a first language (and sometimes only language). The language is widely used in government, education, business, science and technology, and the arts but it has also penetrated the personal and private lives of Filipinos, where code-switching can be prevalent. Proficiency in English may also be equated with socio-economic status; those with higher socio-economic status tend to be more proficient in the language. Philippine English is presently entering a stage of structural systematicization (cf. Borlongan & Lim, 2012) and is being codified through dictionaries and grammars. Consequently, some claims are made that Philippine English is already at the phase of endonormative stabilization (Borlongan, 2011).",Ariane Macalinga Borlongan and Joo Hyuk Lim
76,Cape Flats English,,Rajend Mesthrie and Sean Bowerman and Tracey Toefy
