ID,Name,Description,Category_ID,Example_Source,Attestation,Pervasiveness
167,Fronted invariant tag,"Isn’t, I can colour this red? ‘I can colour this red, can’t I?’",6,(Mesthrie/Bhatt 2008: 86),0.0921052631578947,0.671428571428571
168,Special negative verbs in imperatives,Du miek agli ‘donʼt pull a face’,6,Norfuk (M\u00fchlh\u00e4usler 2008: 574),0.0394736842105263,0.633333333333333
169,Non-standard system underlying responses to negative yes/no questions,"Isnʼt he arriving tomorrow? - Yes [= ‘No, he isnʼt’]/No [= ‘Yes, he is’]",6,BlSAfE (Mesthrie 2008a: 492); EAfE and WAfE (Mesthrie/Bhatt 2008: 87f.),0.355263157894737,0.7
170,Invariant present tense forms due to zero marking for the third person singular,So she show up and say “Whatʼs up?”,7,Kortmann/Szmrecsanyi (2004),0.684210526315789,0.717307692307692
171,Invariant present tense forms due to generalization of 3rd person –s to all persons,I sees the house.,7,Kortmann/Szmrecsanyi (2004),0.355263157894737,0.448148148148148
172,Existential / presentational there’s/there is/there was with plural subjects,Thereʼs two men waiting in the hall.,7,Kortmann/Szmrecsanyi (2004),0.710526315789474,0.742592592592593
173,Variant forms of dummy subject there in existential clauses,They is something bad wrong with her; Itʼs a new person here ‘Thereʼs a new person here’; Ø ga li aystaz we grow pan dem [lit.: got little oysters REL grow on them] ‘There are small oysters growing (on the mangrove trees)’,7,AppE (Montgomery 2008: 278); SEAmE (Wolfram 2008a: 484); BelC (Escure 2008: 758),0.486842105263158,0.686486486486486
174,Deletion of auxiliary be: before progressive,So you Ø always thinking about where where you go to work.,7,HKE (ICE-HK:S1A-030#X132:1:Z),0.578947368421053,0.745454545454545
175,Deletion of auxiliary be: before gonna,I Ø gonna go work.,7,constructed,0.526315789473684,0.69
176,Deletion of copula be: before NPs,He Ø a good teacher.,7,constructed,0.394736842105263,0.676666666666667
177,Deletion of copula be: before AdjPs,She Ø smart.,7,Kortmann/Szmrecsanyi (2004),0.513157894736842,0.823076923076923
178,Deletion of copula be: before locatives,She Ø at home.,7,constructed,0.447368421052632,0.735294117647059
179,Deletion of auxiliary have,I Ø eaten my lunch.,7,Kortmann/Szmrecsanyi (2004),0.302631578947368,0.591304347826087
180,Was/were generalization,You were hungry but he were thirsty; or: You was hungry but he was thirsty,7,Kortmann/Szmrecsanyi (2004),0.526315789473684,0.615
181,Agreement sensitive to subject type,birds sings vs. they sing,7,Kortmann/Szmrecsanyi (2004),0.157894736842105,0.566666666666667
182,Agreement sensitive to position of subject,I sing and dances,7,Kortmann/Szmrecsanyi (2004),0.118421052631579,0.4
183,Northern Subject Rule,I sing [vs. *I sings]; birds sings; I sing and dances,7,Kortmann/Szmrecsanyi (2004),0.0921052631578947,0.471428571428571
184,Invariant be with non-habitual function,Here I be (presentational); I be cold (copula),7,EA (Kortmann 2008: 482); AbE (Burridge 2008: 589),0.184210526315789,0.542857142857143
185,Relativizer that or what  in non-restrictive contexts,"My daughter, that/what lives in London,…",8,Kortmann/Szmrecsanyi (2004),0.447368421052632,0.591176470588235
186,Which for ‘who’,"my brother, which...",8,Kortmann/Szmrecsanyi (2004),0.342105263157895,0.346153846153846
187,Relativizer as,He was a chap as got a living anyhow,8,Kortmann/Szmrecsanyi (2004),0.0789473684210526,0.5
188,Relativizer at,This is the man at painted my house,8,Kent (Upton et al. 1994: ?),0.131578947368421,0.43
189,Relativizer where or a form derived from where,My father was one of the founders oʼ de Underground Railroad where help de slaves to run way to de North,8,EAAVE (Kautzsch 2008: 543),0.276315789473684,0.685714285714286
190,Relativizer what or a form derived from what,This is the man what painted my house; Di man wo tif di granat don go ‘The man who stole the peanuts has gone’,8,Kortmann/Szmrecsanyi (2004); Krio (Yillah/Corcoran 2007:185),0.473684210526316,0.544444444444445
191,Relativizer doubling,"But these, these little fellahs that which had stayed befoʼ God prayinʼ…",8,EAAVE (Schneider 2008: 770),0.118421052631579,0.3
192,"Use of analytic or cliticized that his/that’s, what his/what’s, at’s, who his instead of whose",the man whatʼs wife has died,8,Kortmann/Szmrecsanyi (2004),0.236842105263158,0.588888888888889
193,Gapping/zero-relativization in subject position,The man Ø lives there is a nice chap.,8,Kortmann/Szmrecsanyi (2004),0.605263157894737,0.554347826086956
194,Resumptive/shadow pronouns,This is the house which I painted it yesterday.,8,Kortmann/Szmrecsanyi (2004),0.473684210526316,0.55
195,Postposed one as sole relativizer,That boy pinch my sister one very naughty ‘That boy who pinched my sister is very naughty’,8,Burridge (2008: 597),0.0526315789473684,0.625
196,Correlative constructions,"Which-one I put in the jar, that-one is good ‘The ones [pickles] I put in the jar are best’",8,(Mesthrie/Bhatt 2008:83),0.0789473684210526,0.466666666666667
197,“Linking relative clauses”,…unless you are going to get 88 which some universities are not going to give those marks,8,AusE (Burridge 2008: 592),0.368421052631579,0.45
198,Deletion of stranded prepositions in relative clauses (“preposition chopping”),…like a big yard that you do gardening anʼall [in deleted],8,AfE (Mesthrie 2008c: 629),0.328947368421053,0.488
199,Reduced relative phrases preceding head-noun,That Neelaʼs-knitted jersey is gone white ‘That jersey which Neela knitted/knitted by Neela has gone white’,8,South Asian E (Mesthrie 2008c: 629),0.0657894736842105,0.48
200,Say-based complementizers,We hear say you gone to da city ‘We heard that you [were] gone to the city’,9,Gullah (Mufwene 2008: 566),0.315789473684211,0.741666666666667
201,For-based complementizers,I hard fi kraas di riba ‘It’s hard to cross the river’,9,JamC (Patrick 2008: 627),0.342105263157895,0.707692307692308
202,Unsplit for to in infinitival purpose clauses,We always had gutters in the winter time for to drain the water away.,9,Kortmann/Szmrecsanyi (2004),0.315789473684211,0.470833333333333
203,For (to) as infinitive marker,You werenae allowed at this time for to go and take another job on.,9,ScE (Miller 2008: 318),0.434210526315789,0.503030303030303
204,As what / than what in comparative clauses,Itʼs harder than what you think it is.,9,Kortmann/Szmrecsanyi (2004),0.657894736842105,0.576
205,Existentials with forms of get,E got some sand there ‘There is some sand’; Ova hyee get tumoch bush ‘Thereʼs too much bush over here’,9,AbE (Burridge 2008: 589); Trin/TobC (James/Youssef 2008: 681),0.407894736842105,0.751612903225806
206,Existentials with forms of have,Ma yu abi son mma tu di man dede kaba [lit.: But you have some woman REL the man die PRF] ‘But there are some women whose husbands have already died’,9,Ndyuka (Huttar 2007: 229),0.236842105263158,0.744444444444444
207,Substitution of that-clause for infinitival subclause,I wanted that I should get leave .,9,"IndE, PakE (Mesthrie 2008c: 629)",0.210526315789474,0.45
208,Deletion of to before infinitives,Allow him Ø go.,9,"NigE, EAfE (Mesthrie 2008c: 629)",0.342105263157895,0.676923076923077
209,Addition of to where StE has bare infinitive,He made me to do it.,9,BlSAfE (Mesthrie/Bhatt 2008: 91),0.315789473684211,0.5625
210,Non-finite clause complements with bare root form rather than -ing form,Him start tell di cousins all sort a someting ‘He started telling the cousins all kinds of things’,9,JamC (Patrick 2008: 627) (modified),0.328947368421053,0.532
211,Clause-final but = ʼthoughʼ,Well I warnt so very cold but.,10,ScE (Kortmann 2008: 486),0.236842105263158,0.572222222222222
212,Clause-final but = ʼreallyʼ,"I fright for dogs, but eh! ‘Iʼm really afraid of dogs’",10,"InSAfE (Mesthrie 2008c: 633, Mesthrie/Bhatt 2008: 75)",0.0789473684210526,0.583333333333333
213,No subordination; chaining construction linking two main verbs (motion and activity),"I bin go dere work; Stay longer, they have to over-charge ‘If you stay longer, they have to charge more’",10,AbE (Burridge 2008:  591); SgE  (Mesthrie/Bhatt 2008: 74),0.434210526315789,0.548484848484849
214,Conjunction doubling: clause + conj. + conj. + clause,"He has been in this school for five years, still yet he is not tired",10,NigE (Alo/Mesthrie 2008: 330),0.355263157894737,0.466666666666667
215,Conjunction doubling: correlative conj.s,"Although you are smart, but you are not appreciated; So when I was a baby, so my father-an’-them shifted to Sezela",10,"BlSAfE, InSAfE, NigE (Mesthrie 2008c: 633); IndSAfE (Mesthrie/Bhatt 2008: 74)",0.328947368421053,0.568
216,Omission of StE prepositions,He came out Ø hospital; She went Ø town;  We’re going there Ø Tuesday,11,"Southland NZE (Burridge 2008: 590); StHE, InSAfE (Mesthrie 2008c: 633); Hickey (2004: 608)",0.697368421052632,0.624528301886792
217,Use of postpositions,"e.g. the chalkboard under; night time ‘at night’, Telugu way ‘in Telugu’, morning  part ‘in the morning’",11,Navajo E (Mesthrie/Bhatt 2008: 73); basilectal IndSAfE (Mesthrie/Bhatt 2008: 71),0.355263157894737,0.625925925925926
218,Affirmative anymore ‘nowadays’,That’s the trouble with airplanes any more; Anymore they have a hard time protecting things like that,11,(Trudgill et al. 1991: 277); AppE (Montgomery 2008: 455),0.118421052631579,0.522222222222222
219,Adverb-forming suffixes –way and –time,"long-way, quick-way; dark-time, late-time",11,AbE (Burridge 2008: 590),0.342105263157895,0.588461538461538
220,Degree modifier adverbs have the same form as adjectives,Thatʼs real good,11,Kortmann/Szmrecsanyi (2004),0.776315789473684,0.711864406779661
221,Other adverbs have the same form as adjectives,Come quick!,11,Kortmann/Szmrecsanyi (2004),0.907894736842105,0.779710144927536
222,Too; too much; very much ‘very’ as qualifier,It is too difficult ‘…very difficult’;  i sofa tuu motch ‘(s)he was suffering very much’,11,BlSAfE (Mesthrie 2008a: 497); West African Pidgin (Peter/Wolf 2007: 13);,0.578947368421053,0.729545454545455
223,Other options for clefting than StE,It’s looking for more land a lot of them are; They ride bikes is what I see them do,12,IrE (Kortmann 2008: 490); San Juan Tewa E (Mesthrie/Bhatt 2008: 82),0.394736842105263,0.613333333333333
224,Other possibilities for fronting than StE,To my sister sometime I speak English.,12,SgE (Mesthrie/Bhatt 2008: 82),0.434210526315789,0.639393939393939
225,Sentence-initial focus marker,"A wan piki pikin boi e moksi smenti drape ‘It’s a little boy that mixes cement there’; Na mí was di kalbas ‘Me, I’m the one that washed the calabash’",12,"Sranan (Winford/Migge 2008: 705); Krio, (Yillah/Corcoran 2007:188)",0.315789473684211,0.758333333333333
226,“Negative inversion”,"Didnʼt nobody show up ‘Nobody showed up’; Thereʼs an old house up here, but donʼt nobody live in it ‘…nobody lives in it’",12,Schneider (2008: 775); AppE (Montgomery 2008: 259),0.223684210526316,0.523529411764706
227,Inverted word order in indirect questions,Iʼm wondering what are you gonna do.,12,Kortmann/Szmrecsanyi (2004),0.605263157894737,0.66304347826087
228,No inversion/no auxiliaries in wh-questions,What you doing? What he wants?,12,Kortmann/Szmrecsanyi (2004); Mesthrie (2008c: 630),0.723684210526316,0.794545454545455
229,No inversion/no auxiliaries in main clause yes/no questions,You get the point? You liked India?,12,IndSAfE (Mesthrie/Bhatt 2008: 80),0.921052631578947,0.811428571428571
230,Doubly filled COMP-position with wh-words,What who has eaten? ‘Who ate what?’,12,Mesthrie (2008c: 630),0.0526315789473684,0.45
231,Superlative marker most occurring before head noun,The most thing I like is apples ‘The thing I like most is apples’,12,Mesthrie/Bhatt (2008: 85),0.223684210526316,0.411764705882353
232,Either order of objects in double object constructions (if both objects are pronominal),He couldn’t give him it; I tan [‘took’] it her back,12,Kortmann (2008: 489),0.223684210526316,0.447058823529412
233,Presence of subject in imperatives,Go you there!,12,Kortmann (2008: 489),0.421052631578947,0.615625
234,Like as a focussing device,"How did you get away with that like? Like for one found five quid, that was like three quid, like two-fifty each.",12,Kortmann/Szmrecsanyi (2004),0.565789473684211,0.620930232558139
235,Like as a quotative particle,And she was like “What do you mean?”,12,Kortmann/Szmrecsanyi (2004),0.605263157894737,0.580434782608696
